German,English
ich,I
sie,you
das,the
ist,is
du,you
nicht,Not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a 
in,in
ja,Yes
mir,me
mit,With
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,Has
hier,here
haben,to have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,on
bin,am
noch,still
nur,only 
da,there
dir,to you
sich,itself
einen,a
uns,us
hast,have
dem,to the
kann,can
gut,Well
auch,also
schon,beautiful
als,as
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,out
meine,think
um,around
im,in the
wird,becomes
mein,my
bist,are you
doch,yet
alles,all
weiß,White
keine,no
oder,or
nach,after
s,S
nichts,Nothing
man,one
muss,got to
werden,will
will,want
ihnen,them
geht,goes
wo,Where
etwas,some
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,have
warum,why
vor,before
los,Come on
können,be able
wieder,again
sagen,to say
machen,make
danke,thanks
sehr,very
alle,Everyone